data,hora,cidade,Temperatura (°C),Umidade (%),Precipitação (mm),Vento (km/h)
03/07/2024,21:30,Braganca Paulista,16.0,88.0,0.0,10.9
04/07/2024,19:00,Salvador,26.1,79.0,0.0,8.2
04/07/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
04/07/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
07/07/2024,20:30,Rio de Janeiro,21.5,88.0,0.2,2.5
06/07/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
06/07/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
07/07/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
07/07/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
07/07/2024,16:00,Caxias do Sul,13.8,90.0,0.0,10.2
07/07/2024,18:00,Porto Alegre,19.4,79.0,0.0,17.6
07/07/2024,18:30,Goiania,22.2,81.0,0.0,5.1
07/07/2024,18:30,Sao Paulo,16.6,90.0,0.0,7.3
07/07/2024,18:30,Salvador,26.1,79.0,0.0,8.2
11/07/2024,21:30,Salvador,26.1,79.0,0.0,8.2
09/07/2024,21:30,Braganca Paulista,16.0,88.0,0.0,10.9
10/07/2024,18:30,Porto Alegre,19.4,79.0,0.0,17.6
10/07/2024,19:00,Curitiba,13.6,97.0,0.0,8.1
10/07/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
10/07/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
11/07/2024,19:30,Sao Paulo,16.6,90.0,0.0,7.3
11/07/2024,20:00,Criciuma,15.9,98.0,0.0,3.6
11/07/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
11/07/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
17/07/2024,21:30,Fortaleza,26.5,87.0,2.4,11.9
13/07/2024,16:00,Salvador,26.1,79.0,0.0,8.2
13/07/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
16/07/2024,19:00,Caxias do Sul,13.8,90.0,0.0,10.2
16/07/2024,21:00,Sao Paulo,16.6,90.0,0.0,7.3
17/07/2024,15:00,Rio de Janeiro,21.5,88.0,0.2,2.5
17/07/2024,15:00,Porto Alegre,19.4,79.0,0.0,17.6
17/07/2024,19:00,Goiania,22.2,81.0,0.0,5.1
17/07/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
17/07/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
21/07/2024,20:00,Cuiaba,23.3,92.0,0.0,1.8
20/07/2024,16:00,Brasilia,19.8,82.0,0.0,11.5
20/07/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
20/07/2024,21:00,Sao Paulo,16.6,90.0,0.0,7.3
21/07/2024,11:00,Porto Alegre,19.4,79.0,0.0,17.6
21/07/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
21/07/2024,16:00,Salvador,26.1,79.0,0.0,8.2
21/07/2024,18:30,Fortaleza,26.5,87.0,2.4,11.9
21/07/2024,18:30,Brasilia,19.8,82.0,0.0,11.5
21/07/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
28/08/2024,19:30,Criciuma,15.9,98.0,0.0,3.6
24/07/2024,15:00,Criciuma,15.9,98.0,0.0,3.6
24/07/2024,15:00,Porto Alegre,19.4,79.0,0.0,17.6
24/07/2024,15:00,Rio de Janeiro,21.5,88.0,0.2,2.5
