rodada,data,hora,cidade
23,18/08/2024,16:00,"Criciuma, Brazil"
23,18/08/2024,16:00,"Sao Paulo, Brazil"
23,18/08/2024,18:30,"Curitiba, Brazil"
23,18/08/2024,18:30,"Rio de Janeiro, Brazil"
24,26/08/2024,?,"Rio de Janeiro, Brazil"
24,24/08/2024,16:00,Goiania
24,24/08/2024,18:30,"Sao Paulo, Brazil"
24,24/08/2024,21:00,"Belo Horizonte, Brazil"
24,25/08/2024,16:00,Salvador; Brazil
24,25/08/2024,16:00,"Criciuma, Brazil"
24,25/08/2024,16:00,Fortaleza
24,25/08/2024,18:30,"Sao Paulo, Brazil"
24,25/08/2024,19:00,"Porto Alegre, Brazil"
24,25/08/2024,20:00,"Rio de Janeiro, Brazil"
25,01/09/2024,18:30,Salvador; Brazil
25,31/08/2024,18:30,Cuiaba
25,31/08/2024,21:00,"Rio de Janeiro, Brazil"
25,01/09/2024,11:00,"Belo Horizonte, Brazil"
25,01/09/2024,11:00,"Porto Alegre, Brazil"
25,01/09/2024,16:00,"Sao Paulo, Brazil"
25,01/09/2024,18:30,"Curitiba, Brazil"
25,01/09/2024,18:30,"Rio de Janeiro, Brazil"
25,01/09/2024,18:30,"Caxias do Sul, Brazil"
25,01/09/2024,18:30,"Braganca Paulista, Brazil"
26,16/09/2024,20:00,"Porto Alegre, Brazil"
26,14/09/2024,16:00,Goiania
26,14/09/2024,18:30,"Curitiba, Brazil"
26,14/09/2024,21:00,"Rio de Janeiro, Brazil"
26,15/09/2024,16:00,"Caxias do Sul, Brazil"
26,15/09/2024,16:00,"Sao Paulo, Brazil"
26,15/09/2024,16:00,"Braganca Paulista, Brazil"
26,15/09/2024,18:30,Salvador; Brazil
26,15/09/2024,18:30,"Belo Horizonte, Brazil"
26,15/09/2024,18:30,"Rio de Janeiro, Brazil"
27,22/09/2024,20:00,"Criciuma, Brazil"
27,21/09/2024,16:00,"Sao Paulo, Brazil"
27,21/09/2024,16:00,Salvador; Brazil
27,21/09/2024,18:30,"Rio de Janeiro, Brazil"
27,21/09/2024,21:00,"Fortaleza, Brazil"
27,22/09/2024,16:00,"Belo Horizonte, Brazil"
27,22/09/2024,16:00,"Rio de Janeiro, Brazil"
27,22/09/2024,18:30,Cuiaba
27,22/09/2024,18:30,"Porto Alegre, Brazil"
27,22/09/2024,18:30,"Sao Paulo, Brazil"
28,29/09/2024,20:00,"Rio de Janeiro, Brazil"
28,28/09/2024,18:30,"Campinas, Brazil"
28,28/09/2024,21:00,"Brasilia, Brazil"
28,29/09/2024,11:00,"Caxias do Sul, Brazil"
28,29/09/2024,16:00,"Goiania, Brazil"
28,29/09/2024,16:00,Fortaleza
28,29/09/2024,16:00,"Brasilia, Brazil"
28,29/09/2024,18:30,Salvador; Brazil
28,29/09/2024,18:30,"Belo Horizonte, Brazil"
28,29/09/2024,18:30,"Porto Alegre, Brazil"
29,05/10/2024,21:00,"Rio de Janeiro, Brazil"
29,03/10/2024,19:00,"Criciuma, Brazil"
29,03/10/2024,21:30,"Rio de Janeiro, Brazil"
29,04/10/2024,21:30,"Porto Alegre, Brazil"
29,05/10/2024,16:30,"Curitiba, Brazil"
29,05/10/2024,16:30,"Belo Horizonte, Brazil"
29,05/10/2024,16:30,"Braganca Paulista, Brazil"
29,05/10/2024,19:00,Salvador; Brazil
29,05/10/2024,19:00,"Sao Paulo, Brazil"
29,05/10/2024,19:00,"Cuiaba, Brazil"
30,20/10/2024,20:00,"Caxias do Sul, Brazil"
30,16/10/2024,21:45,Fortaleza
30,16/10/2024,21:45,"Campinas, Brazil"
30,17/10/2024,20:00,"Sao Paulo, Brazil"
30,17/10/2024,20:00,"Rio de Janeiro, Brazil"
30,18/10/2024,19:00,Goiania
30,18/10/2024,20:00,"Rio de Janeiro, Brazil"
30,18/10/2024,21:30,"Belo Horizonte, Brazil"
30,19/10/2024,16:00,"Porto Alegre, Brazil"
30,19/10/2024,16:00,Salvador; Brazil
31,28/10/2024,21:00,"Rio de Janeiro, Brazil"
31,26/10/2024,16:30,"Rio de Janeiro, Brazil"
31,26/10/2024,16:30,"Porto Alegre, Brazil"
31,26/10/2024,16:30,"Sao Paulo, Brazil"
31,26/10/2024,16:30,Salvador; Brazil
31,26/10/2024,18:30,"Curitiba, Brazil"
31,26/10/2024,19:00,"Belo Horizonte, Brazil"
31,26/10/2024,19:00,"Braganca Paulista, Brazil"
31,26/10/2024,21:00,"Criciuma, Brazil"
31,28/10/2024,19:00,Cuiaba
32,06/11/2024,21:00,"Belo Horizonte, Brazil"
32,01/11/2024,21:00,"Rio de Janeiro, Brazil"
32,02/11/2024,16:00,"Braganca Paulista, Brazil"
32,02/11/2024,18:30,"Curitiba, Brazil"
32,02/11/2024,18:30,Caxias do Sul
32,04/11/2024,20:00,"Sao Paulo, Brazil"
32,05/11/2024,21:30,Salvador; Brazil
32,05/11/2024,21:30,"Rio de Janeiro, Brazil"
32,05/11/2024,21:30,"Porto Alegre, Brazil"
32,06/11/2024,21:00,"Goiania, Brazil"
33,13/11/2024,20:00,"Rio de Janeiro, Brazil"
33,08/11/2024,19:00,"Porto Alegre, Brazil"
33,08/11/2024,21:30,"Sao Paulo, Brazil"
33,09/11/2024,16:30,"Rio de Janeiro, Brazil"
33,09/11/2024,16:30,Salvador; Brazil
33,09/11/2024,19:00,"Goiania, Brazil"
33,09/11/2024,19:00,"Belo Horizonte, Brazil"
33,09/11/2024,19:00,"Fortaleza, Brazil"
33,09/11/2024,19:00,"Caxias do Sul, Brazil"
33,09/11/2024,21:00,"Sao Paulo, Brazil"
34,22/11/2024,21:30,"Rio de Janeiro, Brazil"
34,20/11/2024,11:00,"Sao Paulo, Brazil"
34,20/11/2024,16:30,"Curitiba, Brazil"
34,20/11/2024,16:30,"Criciuma, Brazil"
34,20/11/2024,16:30,"Braganca Paulista, Brazil"
34,20/11/2024,18:00,Salvador; Brazil
34,20/11/2024,19:00,"Cuiaba, Brazil"
34,20/11/2024,19:00,"Porto Alegre, Brazil"
34,20/11/2024,21:30,"Belo Horizonte, Brazil"
34,21/11/2024,20:00,"Rio de Janeiro, Brazil"
35,27/11/2024,21:00,"Belo Horizonte, Brazil"
35,23/11/2024,19:30,"Goiania, Brazil"
35,23/11/2024,19:30,"Rio de Janeiro, Brazil"
35,23/11/2024,19:30,"Caxias do Sul, Brazil"
35,23/11/2024,21:30,"Sao Paulo, Brazil"
35,24/11/2024,16:00,Salvador; Brazil
35,24/11/2024,16:00,"Sao Paulo, Brazil"
35,24/11/2024,16:00,"Porto Alegre, Brazil"
35,26/11/2024,19:00,"Rio de Janeiro, Brazil"
35,26/11/2024,20:00,Fortaleza
36,01/12/2024,18:30,Salvador; Brazil
36,26/11/2024,21:30,"Belo Horizonte, Brazil"
36,26/11/2024,21:30,"Sao Paulo, Brazil"
36,30/11/2024,19:30,"Criciuma, Brazil"
36,30/11/2024,19:30,Cuiaba
36,30/11/2024,21:30,"Rio de Janeiro, Brazil"
36,01/12/2024,16:00,"Rio de Janeiro, Brazil"
36,01/12/2024,16:00,"Porto Alegre, Brazil"
36,01/12/2024,18:30,"Curitiba, Brazil"
36,01/12/2024,18:30,"Braganca Paulista, Brazil"
37,05/12/2024,20:00,"Rio de Janeiro, Brazil"
37,03/12/2024,20:00,"Sao Paulo, Brazil"
37,04/12/2024,19:00,"Rio de Janeiro, Brazil"
37,04/12/2024,20:00,"Criciuma, Brazil"
37,04/12/2024,20:00,"Sao Paulo, Brazil"
37,04/12/2024,20:00,Salvador; Brazil
37,04/12/2024,21:30,"Goiania, Brazil"
37,04/12/2024,21:30,"Belo Horizonte, Brazil"
37,04/12/2024,21:30,"Porto Alegre, Brazil"
37,05/12/2024,20:00,"Curitiba, Brazil"
38,08/12/2024,16:00,"Braganca Paulista, Brazil"
38,08/12/2024,16:00,"Belo Horizonte, Brazil"
38,08/12/2024,16:00,Salvador; Brazil
38,08/12/2024,16:00,"Rio de Janeiro, Brazil"
38,08/12/2024,16:00,Cuiaba
38,08/12/2024,16:00,"Rio de Janeiro, Brazil"
38,08/12/2024,16:00,"Fortaleza, Brazil"
38,08/12/2024,16:00,"Porto Alegre, Brazil"
38,08/12/2024,16:00,"Caxias do Sul, Brazil"
38,08/12/2024,16:00,"Sao Paulo, Brazil"
