rodada,jogo,mandante,visitante,placar,gols
37,2,Erro,Erro,Erro,Paulinho 90'+4; Luciano 90'+1 (Pen)
37,3,@,Eulon,2 x 1,Pedro 45'+4; Clayson 79' (Pen )
37,4,Palmeiras,Fluminense,1 x 0,Breno Lopes 30'
37,5,América-MG,Bahia,3 x 2,Renato Marques 47' 38'; Ademir 57'; Everaldo 26' (Pen)
37,6,Athletico,Santos,3 x 0,IV. Bigode 90'+3; Madson 75'; Vitor Bueno 45'+6
37,7,Botafogo,Cruzeiro,0 x 0,
37,8,Forall,Fortaleza,1 x 0,
37,9,GREMIO,Grêmio,1 x 0,Lsuarez 46'
38,1,Goiás,América-MG,1 x 0,Luis Oyama 33'
38,10,RccBul,Finished,2 x 1,Serginho 82'; LOrtiz 63'
38,2,Bahia,Atlético-MG,4 x 1,Ademir 90'+2; Paulinho 36'; Thaciano 67'; Cauly 11'
38,3,Coritiba,Corinthians,0 x 2,A Romero 21'; FVera 11'
38,4,Cruzeiro,Finished,1 x 1,Nikão 80'; Endrick 21'
38,5,Euon,Cuiabá,3 x 0,"Clayson 90'+6,13' (Pen); D.Lacerda 17'"
38,6,Fluminense,Grêmio,2 x 3,"L Suárez 64' (Pen ), 43""; J.Arias 34' (Pen); Everton Galdino 45'"
38,7,Internacional,Botafogo,3 x 1,P Henrique 53'; Janderson 47'; EValencia 19'
38,8,Fohieln,Finished,1 x 2,Messias 58'; J.M.Lucero 90'+6; Marinho 39'
38,9,Erro,Erro,Erro,Luclano 26'
3,1,Erro,Erro,Erro,B. Gomes 12'; M.Paulo 81'
3,10,Vasco,Bahia,0 x 1,Thaciano 44'
3,2,Forall,Fortaleza,4 x 2,Hércules 79'; John Kennedy 69'; Moisés 60' 35'; Alan 45'+2
3,3,Palmeiras,Finished,2 x 1,R.Veiga 36'; J. Piquerez 76' (OG); Murilo 16'
3,4,Redhul,Bragantino,0 x 3,Rodrigues 87'; Gilberto 64'
3,5,Santos,América-MG,3 x 2,M. Leonardo 69' (Pen); E Bauermann 40'
3,6,(Ae,Finished,2 x 1,Hulk 84' 10'; V.Roque 90'+2
3,7,Flamengo,Botafogo,2 x 3,LPereira 86' 58'; Tiquinho 71' 30' (Pen); D-Barbosa 45'+5
3,8,@u ida,(GrEMIo,1 x 2,Everton Galdino 68'; Vina 10'
3,9,Internacional,Goiás,1 x 0,
4,1,Cruzeiro,Finished,2 x 1,Wesley 62' 21'; Ângelo 57'
4,10,Fohieln,Finished,1 x 1,
4,2,Fluminense,Vasco,1 x 1,Lima 55'
4,3,Eulon,Eulon,1 x 2,Aloisio 12'; Ronald 90'+2; Marlon 85' (oG)
4,4,Athletico,Finished,2 x 1,Erick 80'; Barbosa 15' (Pen )
4,5,Bahia,Coritiba,3 x 1,DDuarte 68'; Boschilia 63'; Biel 65'; VLuis 16' OG)
4,6,Erro,Erro,Erro,P Maia 70'
4,7,Botafogo,Atlético-MG,2 x 0,MvI. Nascimento 60'; Victor Sá 30'
4,8,Goiás,Palmeiras,0 x 5,Dudu 90'; Endrick 83'; R. Veiga 78'
4,9,Rerul,GREMIO,3 x 3,T Borbas 90'+1; L Suárez 56'; E Sasha 53'
5,1,Internacional,Athletico,0 x 2,W. Bigode 90'+6; Christian 79'
5,10,Erro,Erro,Erro,
5,2,Bragantino,América-MG,2 x 2,"Helinho 44' 33""; Aloisio 78' (Pen ) 15' (Pen )"
5,3,Santos,Bahia,3 x 0,Ângelo 51'; Mendoza 14'
5,4,Euon,Cuiabá,0 x 4,Paulinho 87'); C. Pavón 72'; Hulk 51' (Pen ); Hyoran 13'
5,5,Flamengo,Goiás,2 x 0,
5,6,Cruzeiro,Fluminense,0 x 2,Cano 54'; Ganso 44'
5,7,Palmeiras,Grêmio,4 x 1,Bitello 45'+2; R.Veiga 56' (Pen ). 24'
5,8,Coritiba,Finished,1 x 1,Z Roberto 45'+4; Erick Marcus 80'
5,9,Botafogo,Corinthians,3 x 0,Eduardo 81'; Tiquinho 65' (Pen ) 12'
6,1,Bahia,Flamengo,2 x 3,Ademir 51'; D.Luiz 45'+4; Biel 35'; G. Barbosa 29' (Pen )
6,10,Goiás,Finished,2 x 1,Tiquinho 33' (Pen ); Bruno Melo 45'+5
6,2,Eulon,Fluminense,2 x 0,Ganso 56'
6,3,RccBul,Finished,1 x 1,J. Capixaba 71'
6,4,Atlético-MG,Internacional,2 x 0,Paulinho 90'+5
6,5,Erro,Erro,Erro,Róger Guedes 45'+5 (Pen); M. Araújo 15'
6,6,Erro,Erro,Erro,
6,7,Vasco,Santos,0 x 1,Washington 29'
6,8,América-MG,Cruzeiro,0 x 4,"Gilberto 90'+1,84'; Marlon 70'; Henrique 33'"
6,9,Athletico,Coritiba,3 x 2,A. Canobbio 90'+7; Robson 66'; IV. Bigode 90'+1; M. Moreno 20'
7,1,Bahia,Finished,1 x 1,Everaldo 25'; Bruno Melo 31'
7,10,Eulon,Cruzeiro,0 x 1,Deyverson 37'
7,2,Fohieln,Finished,2 x 1,T Pochettino 26'
7,3,Botafogo,Fluminense,1 x 0,
7,4,Coritiba,Finished,1 x 2,Robson 13' (Pen); Hulk 90'+1 (Pen); Hyoran 37'
7,5,Bragantino,Athletico,2 x 0,IBorbas 86'; ESasha 16'
7,6,Erro,Erro,Erro,Juan 90'+2; M. Galarza 83'; C. Barros 45'; Calleri 24'
7,7,Erro,Erro,Erro,
7,8,Flamengo,Corinthians,1 x 0,L Pereira 90'+4
7,9,GREMIO,Grêmio,3 x 1,Bitello 65'; Jonnny 87'; M. Villasanti 31'
8,1,Athletico,(GrEMIo,1 x 2,Bruno Uvini 49'; Cuiabano 31'
8,10,Botafogo,América-MG,2 x 0,LHenrique 60'
8,2,Forall,Fortaleza,2 x 0,Romero 90'+4
8,3,Euon,Finished,1 x 1,
8,4,#,Finished,1 x 1,
8,5,Erro,Erro,Erro,David 90'+1; Maguinho 29'; PMala 57'
8,6,Corinthians,Fluminense,2 x 0,"Guedes 90'+2,59"""
8,7,Internacional,Bahia,2 x 0,Wanderson 90'+9
8,8,Atlético-MG,Finished,1 x 1,Pavón 45'; Dudu 52'
8,9,Bragantino,Santos,2 x 0,J.Capixaba 75'; Vitinho 31'
9,1,Erro,Erro,Erro,
9,10,Vasco,Flamengo,1 x 4,Jair 58' (Pen); A. Lucas 45'+2; Gerson 16'; EPulgar 14'
9,2,América-MG,Corinthians,2 x 0,Danilo Avelar 74' (Pen)
9,3,Athletico,Botafogo,1 x 0,Santana 42'
9,4,Cruzeiro,Atlético-MG,0 x 1,Hulk 27'
9,5,Santos,Finished,1 x 1,LLima 12'
9,6,RccBul,Finished,2 x 1,IBorbas 54'
9,7,GREMIO,Finished,2 x 1,J. Calleri 15'; F Cristaldo 31' (Pen)
9,8,Eulon,Goiás,0 x 1,Deyverson 64'
9,9,Palmeiras,Coritiba,3 x 1,Rony 73' 34'; A. Manga 83'
