Imagem,Mandante,Visitante,Placar
rodada_31_jogo_8.png,Criciúma,São Paulo,1 x 1
rodada_31_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_32_jogo_1.png,Fluminense,Grêmio,2 x 2
rodada_32_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_32_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_32_jogo_3.png,Athletico,Vitória,1 x 2
rodada_32_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_32_jogo_5.png,Corinthians,Palmeiras,2 x 0
rodada_32_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_32_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_32_jogo_8.png,Internacional,Criciúma,2 x 0
rodada_32_jogo_9.png,Atlético-GO,Atlético-IVIG,1 x 0
rodada_33_jogo_1.png,Internacional,Fluminense,2 x 0
rodada_33_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_33_jogo_2.png,Palmeiras,Grêmio,1 x 0
rodada_33_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_33_jogo_4.png,Vitória,Corinthians,1 x 2
rodada_33_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_33_jogo_6.png,Cruzeiro,Criciúma,2 x 1
rodada_33_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_33_jogo_8.png,Juventude,Bahia,2 x 1
rodada_33_jogo_9.png,VE,São Paulo,2 x 1
rodada_34_jogo_1.png,Corinthians,Cruzeiro,2 x 1
rodada_34_jogo_10.png,Fluminense,Fortaleza,2 x 2
rodada_34_jogo_2.png,Athletico,Atlético-GO,2 x 0
rodada_34_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_34_jogo_4.png,RB Bragantino,UI,1 x 1
rodada_34_jogo_5.png,Bahia,Palmeiras,1 x 2
rodada_34_jogo_6.png,Cuiabá,Flamengo,1 x 2
rodada_34_jogo_7.png,Grêmio,Juventude,2 x 2
rodada_34_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_34_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_35_jogo_1.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_35_jogo_10.png,Cruzeiro,Grêmio,1 x 1
rodada_35_jogo_2.png,Botafogo,Vitória,1 x 1
rodada_35_jogo_3.png,Juventude,Cuiabá,1 x 1
rodada_35_jogo_4.png,São Paulo,Atlético-MVG,2 x 2
rodada_35_jogo_5.png,Bahia,Athletico,1 x 1
rodada_35_jogo_6.png,Corinthians,Vasco,3 x 1
rodada_35_jogo_7.png,Internacional,RB Bragantino,4 x 1
rodada_35_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_35_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_36_jogo_1.png,Atlético-MVIG,Juventude,2 x 3
rodada_36_jogo_10.png,Vitória,Fortaleza,2 x 0
rodada_36_jogo_2.png,Palmeiras,Botafogo,1 x 3
rodada_36_jogo_3.png,Criciúma,Corinthians,2 x 4
rodada_36_jogo_4.png,Cuiabá,Bahia,1 x 2
rodada_36_jogo_5.png,Vasco,Atlético-G0,2 x 2
rodada_36_jogo_6.png,Flamengo,Internacional,3 x 2
rodada_36_jogo_7.png,Grêmio,São Paulo,2 x 1
rodada_36_jogo_8.png,Athletico,Fluminense,1 x 1
rodada_36_jogo_9.png,RB Bragantino,Cruzeiro,1 x 1
rodada_37_jogo_1.png,Corinthians,Bahia,3 x 0
rodada_37_jogo_10.png,Fluminense,Cuiabá,1 x 0
rodada_37_jogo_2.png,Vasco,Atlético-MVIG,2 x 0
rodada_37_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_37_jogo_4.png,São Paulo,Juventude,1 x 2
rodada_37_jogo_5.png,Vitória,Grêmio,1 x 1
rodada_37_jogo_6.png,Atlético-GO,Fortaleza,3 x 1
rodada_37_jogo_7.png,Cruzeiro,Palmeiras,1 x 2
rodada_37_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_37_jogo_9.png,Athletico,RB Bragantino,1 x 2
rodada_38_jogo_1.png,Atlético-MG,Athletico,1 x 0
rodada_38_jogo_10.png,RB Bragantino,Criciúma,5 x 1
rodada_38_jogo_2.png,Bahia,Atlético-GO,2 x 0
rodada_38_jogo_3.png,Botafogo,DE,2 x 1
rodada_38_jogo_4.png,Cuiabá,Vasco,1 x 2
rodada_38_jogo_5.png,Flamengo,Vitória,2 x 2
rodada_38_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_38_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_38_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_38_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_3_jogo_1.png,Fluminense,Vasco,2 x 1
rodada_3_jogo_10.png,Criciúma,Fortaleza,1 x 1
rodada_3_jogo_2.png,Grêmio,Cuiabá,1 x 0
rodada_3_jogo_3.png,RB Bragantino,Corinthians,1 x 0
rodada_3_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_3_jogo_5.png,Athletico,Internacional,1 x 0
rodada_3_jogo_6.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_3_jogo_7.png,Vitória,Bahia,2 x 2
rodada_3_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_3_jogo_9.png,Botafogo,Juventude,5 x 1
rodada_4_jogo_1.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_4_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_4_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_4_jogo_3.png,Bahia,Grêmio,1 x 0
rodada_4_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_4_jogo_5.png,Corinthians,Fluminense,3 x 0
rodada_4_jogo_6.png,Cruzeiro,Vitória,3 x 1
rodada_4_jogo_7.png,Fortaleza,RB Bragantino,1 x 1
rodada_4_jogo_8.png,Juventude,Athletico,1 x 1
rodada_4_jogo_9.png,Internacional,Atlético-GO,1 x 1
rodada_5_jogo_1.png,Fluminense,Atlético-MVIG,2 x 2
rodada_5_jogo_10.png,Grêmio,Criciúma,1 x 2
rodada_5_jogo_2.png,RB Bragantino,Flamengo,1 x 1
rodada_5_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_5_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_5_jogo_5.png,Vitória,São Paulo,1 x 3
